年度,鄉鎮,段名,地號,公告土地現值
112,2,18,3000000,4300
112,2,18,3010000,4300
112,2,18,3020000,4300
112,2,18,3030000,4300
112,2,18,3040000,4300
112,2,18,3050000,4300
112,2,18,3060000,4600
112,2,18,3060001,3950
112,2,18,3070000,4600
112,2,18,3070001,5003
112,2,18,3080000,4300
112,2,18,3090000,4300
112,2,18,3100000,4300
112,2,18,3110000,4300
112,2,18,3120000,4300
112,2,18,3130000,4300
112,2,18,3140000,4300
112,2,18,3150000,4300
112,2,18,3160000,4300
112,2,18,3170000,4300
112,2,18,3180000,4300
112,2,18,3190000,4300
112,2,18,3200000,4300
112,2,18,3210000,4300
112,2,18,3210001,4300
112,2,18,3220000,4300
112,2,18,3220001,4300
112,2,18,3220002,4300
112,2,18,3220003,4300
112,2,18,3230000,4300
112,2,18,3240000,4300
112,2,18,3250000,4300
112,2,18,3260000,4300
112,2,18,3260001,4300
112,2,18,3270000,4300
112,2,18,3280000,4300
112,2,18,3290000,4300
112,2,18,3300000,4300
112,2,18,3300001,4300
112,2,18,3310000,4300
112,2,18,3320000,4300
112,2,18,3330000,4300
112,2,18,3340000,4300
112,2,18,3340001,4300
112,2,18,3350000,4300
112,2,18,3360000,4600
112,2,18,3360001,10903
112,2,18,3370000,4600
112,2,18,3370001,10903
112,2,18,3380000,4300
112,2,18,3390000,4300
112,2,18,3400000,4300
112,2,18,3410000,4300
112,2,18,3420000,4300
112,2,18,3430000,4300
112,2,18,3440000,4300
112,2,18,3450000,4300
112,2,18,3460000,4300
112,2,18,3470000,4300
112,2,18,3480000,4300
112,2,18,3490000,4300
112,2,18,3500000,4300
112,2,18,3510000,4300
112,2,18,3510001,4300
112,2,18,3510002,4300
112,2,18,3510003,4300
112,2,18,3520000,4300
112,2,18,3520001,4300
112,2,18,3520002,4300
112,2,18,3520003,4300
112,2,18,3530000,4300
112,2,18,3540000,4300
112,2,18,3550000,4300
112,2,18,3560000,4300
112,2,18,3570000,4300
112,2,18,3580000,4300
112,2,18,3590000,4300
112,2,18,3590001,4300
112,2,18,3600000,4300
112,2,18,3610000,4300
112,2,18,3620000,4300
112,2,18,3630000,4300
112,2,18,3640000,4300
112,2,18,3650000,4300
112,2,18,3660000,4600
112,2,18,3660001,10903
112,2,18,3660002,4600
112,2,18,3660003,10903
112,2,18,3670000,4600
112,2,18,3670001,10903
112,2,18,3680000,4300
112,2,18,3690000,4300
112,2,18,3700000,4300
112,2,18,3710000,4300
112,2,18,3720000,4300
112,2,18,3730000,4300
112,2,18,3740000,4300
112,2,18,3750000,4300
112,2,18,3760000,4300
112,2,18,3770000,4300
112,2,18,3780000,4300
112,2,18,3790000,4300
112,2,18,3800000,4300
112,2,18,3810000,4300
112,2,18,3810001,4300
112,2,18,3810002,4300
112,2,18,3810003,4300
112,2,18,3820000,4300
112,2,18,3820001,4300
112,2,18,3820002,4300
112,2,18,3820003,4300
112,2,18,3830000,4300
112,2,18,3840000,4300
112,2,18,3850000,4300
112,2,18,3860000,4300
112,2,18,3870000,4300
112,2,18,3880000,4300
112,2,18,3890000,4300
112,2,18,3900000,4300
112,2,18,3910000,4300
112,2,18,3920000,4300
112,2,18,3930000,4300
112,2,18,3940000,4300
112,2,18,3950000,4300
112,2,18,3960000,4600
112,2,18,3960001,10903
112,2,18,3970000,4600
112,2,18,3970001,10903
112,2,18,3980000,4300
112,2,18,3990000,4300
112,2,18,4000000,4300
112,2,18,4010000,4300
112,2,18,4020000,4300
112,2,18,4030000,4300
112,2,18,4040000,4300
112,2,18,4050000,4300
112,2,18,4060000,4300
112,2,18,4070000,4300
112,2,18,4080000,4300
112,2,18,4090000,4300
112,2,18,4100000,4300
112,2,18,4110000,4300
112,2,18,4110001,4300
112,2,18,4110002,4300
112,2,18,4110003,4300
112,2,18,4120000,4300
112,2,18,4120001,4300
112,2,18,4130000,4300
112,2,18,4140000,4300
112,2,18,4150000,4300
112,2,18,4160000,4300
112,2,18,4170000,4300
112,2,18,4180000,4300
112,2,18,4180001,4300
112,2,18,4190000,4300
112,2,18,4200000,4300
112,2,18,4200001,4300
112,2,18,4210000,4300
112,2,18,4210001,4300
112,2,18,4220000,4300
112,2,18,4230000,4300
112,2,18,4240000,4300
112,2,18,4240001,4300
112,2,18,4250000,4300
112,2,18,4260000,4300
112,2,18,4260001,4300
112,2,18,4270000,4600
112,2,18,4270001,4345
112,2,18,4270002,10903
112,2,18,4270003,10903
112,2,18,4280000,4600
112,2,18,4280001,10903
112,2,18,4290000,4300
112,2,18,4300000,4300
112,2,18,4310000,4300
112,2,18,4320000,4300
112,2,18,4330000,4300
112,2,18,4340000,4300
112,2,18,4350000,4300
112,2,18,4360000,4300
112,2,18,4370000,4300
112,2,18,4380000,4300
112,2,18,4390000,4300
112,2,18,4400000,4300
112,2,18,4410000,4300
112,2,18,4420000,4300
112,2,18,4430000,4300
112,2,18,4430001,4300
112,2,18,4440000,4300
112,2,18,4440001,4300
112,2,18,4450000,4300
112,2,18,4460000,4300
112,2,18,4470000,4300
112,2,18,4480000,4300
112,2,18,4490000,4300
112,2,18,4500000,4300
112,2,18,4510000,4300
112,2,18,4520000,4300
112,2,18,4530000,4300
112,2,18,4540000,4300
112,2,18,4550000,4300
112,2,18,4560000,4300
112,2,18,4570000,4300
112,2,18,4580000,4300
